"edi_version","date"
"edi.1239.1","5/12/2023"
"edi.1239.2","11/1/2023"
"edi.1239.3","12/6/2023"
"edi.1239.4","1/30/2024"
"edi.1239.5","1/30/2024"
"edi.1239.6","2/14/2024"
"edi.1239.7","2/28/2024"
"edi.1239.8","3/14/2024"
"edi.1239.9","4/11/2024"
"edi.1239.10","4/25/2024"
"edi.1239.11","5/10/2024"
"edi.1239.12","9/24/2024"
"edi.1239.13","9/24/2024"
"edi.1239.14","1/16/2025"
"edi.1239.15","2025-01-17"
"edi.1239.16","2025-01-17"
"edi.1239.17","2025-01-23"
"edi.1239.18","2025-02-12"
"edi.1239.19","2025-02-27"
"edi.1239.20","2025-03-12"
"edi.1239.21","2025-03-26"
"edi.1239.22","2025-04-10"
"edi.1239.23","2025-04-24"
"edi.1239.24","2025-05-28"
"edi.1239.25","2025-06-17"
